beta-box [3.0000, 3.0010]: 21 t-boxes
beta-box [4.0740, 4.0750]: 50 t-boxes
beta-box [4.0750, 4.0760]: 50 t-boxes
beta-box [4.0760, 4.0770]: 50 t-boxes
beta-box [4.0770, 4.0780]: 50 t-boxes
beta-box [4.0780, 4.0790]: 50 t-boxes
beta-box [4.0790, 4.0800]: 50 t-boxes
beta-box [4.0800, 4.0810]: 50 t-boxes
beta-box [4.0810, 4.0820]: 50 t-boxes
beta-box [4.0820, 4.0830]: 50 t-boxes
beta-box [4.0830, 4.0840]: 50 t-boxes
beta-box [4.0840, 4.0850]: 50 t-boxes
beta-box [4.0850, 4.0860]: 50 t-boxes
beta-box [4.0860, 4.0870]: 50 t-boxes
beta-box [4.0870, 4.0880]: 50 t-boxes
beta-box [4.0880, 4.0890]: 50 t-boxes
beta-box [4.0890, 4.0900]: 50 t-boxes
beta-box [4.0900, 4.0910]: 50 t-boxes
beta-box [4.0910, 4.0920]: 50 t-boxes
beta-box [4.0920, 4.0930]: 51 t-boxes
beta-box [4.0930, 4.0940]: 51 t-boxes
beta-box [4.0940, 4.0950]: 51 t-boxes
beta-box [4.0950, 4.0960]: 51 t-boxes
beta-box [4.0960, 4.0970]: 51 t-boxes
beta-box [4.0970, 4.0980]: 51 t-boxes
beta-box [4.0980, 4.0990]: 51 t-boxes
beta-box [4.0990, 4.1000]: 51 t-boxes
beta-box [4.1000, 4.1010]: 51 t-boxes
beta-box [4.1010, 4.1020]: 51 t-boxes
beta-box [4.1020, 4.1030]: 51 t-boxes
beta-box [4.1030, 4.1040]: 51 t-boxes
beta-box [4.1040, 4.1050]: 51 t-boxes
beta-box [4.1050, 4.1060]: 51 t-boxes
beta-box [4.1060, 4.1070]: 51 t-boxes
beta-box [4.1070, 4.1080]: 51 t-boxes
beta-box [4.1080, 4.1090]: 51 t-boxes
beta-box [4.1090, 4.1100]: 52 t-boxes
beta-box [4.1100, 4.1110]: 52 t-boxes
beta-box [4.1110, 4.1120]: 52 t-boxes
beta-box [4.1120, 4.1130]: 52 t-boxes
beta-box [4.1130, 4.1140]: 52 t-boxes
beta-box [4.1140, 4.1150]: 52 t-boxes
beta-box [4.1150, 4.1160]: 52 t-boxes
beta-box [4.1160, 4.1170]: 52 t-boxes
beta-box [4.1170, 4.1180]: 52 t-boxes
beta-box [4.1180, 4.1190]: 52 t-boxes
beta-box [4.1190, 4.1200]: 52 t-boxes
beta-box [4.1200, 4.1210]: 52 t-boxes
beta-box [4.1210, 4.1220]: 52 t-boxes
beta-box [4.1220, 4.1230]: 52 t-boxes
beta-box [4.1230, 4.1240]: 52 t-boxes
beta-box [4.1240, 4.1250]: 52 t-boxes
beta-box [4.1250, 4.1260]: 53 t-boxes
beta-box [4.1260, 4.1270]: 53 t-boxes
beta-box [4.1270, 4.1280]: 54 t-boxes
beta-box [4.1280, 4.1290]: 54 t-boxes
beta-box [4.1290, 4.1300]: 54 t-boxes
beta-box [4.1300, 4.1310]: 54 t-boxes
beta-box [4.1310, 4.1320]: 54 t-boxes
beta-box [4.1320, 4.1330]: 54 t-boxes
beta-box [4.1330, 4.1340]: 54 t-boxes
beta-box [4.1340, 4.1350]: 54 t-boxes
beta-box [4.1350, 4.1360]: 54 t-boxes
beta-box [4.1360, 4.1370]: 54 t-boxes
beta-box [4.1370, 4.1380]: 54 t-boxes
beta-box [4.1380, 4.1390]: 54 t-boxes
beta-box [4.1390, 4.1400]: 54 t-boxes
beta-box [4.1400, 4.1410]: 54 t-boxes
beta-box [4.1410, 4.1420]: 54 t-boxes
beta-box [4.1420, 4.1430]: 54 t-boxes
beta-box [4.1430, 4.1440]: 54 t-boxes
beta-box [4.1440, 4.1450]: 54 t-boxes
beta-box [4.1450, 4.1460]: 54 t-boxes
beta-box [4.1460, 4.1470]: 54 t-boxes
beta-box [4.1470, 4.1480]: 54 t-boxes
beta-box [4.1480, 4.1490]: 54 t-boxes
beta-box [4.1490, 4.1500]: 55 t-boxes
beta-box [4.1500, 4.1510]: 55 t-boxes
beta-box [4.1510, 4.1520]: 55 t-boxes
beta-box [4.1520, 4.1530]: 55 t-boxes
beta-box [4.1530, 4.1540]: 55 t-boxes
beta-box [4.1540, 4.1550]: 55 t-boxes
beta-box [4.1550, 4.1560]: 55 t-boxes
beta-box [4.1560, 4.1570]: 55 t-boxes
beta-box [4.1570, 4.1580]: 55 t-boxes
beta-box [4.1580, 4.1590]: 55 t-boxes
beta-box [4.1590, 4.1600]: 55 t-boxes
beta-box [4.1600, 4.1610]: 55 t-boxes
beta-box [4.1610, 4.1620]: 56 t-boxes
beta-box [4.1620, 4.1630]: 56 t-boxes
beta-box [4.1630, 4.1640]: 56 t-boxes
beta-box [4.1640, 4.1650]: 56 t-boxes
beta-box [4.1650, 4.1660]: 56 t-boxes
beta-box [4.1660, 4.1670]: 56 t-boxes
beta-box [4.1670, 4.1680]: 56 t-boxes
beta-box [4.1680, 4.1690]: 56 t-boxes
beta-box [4.1690, 4.1700]: 56 t-boxes
beta-box [4.1700, 4.1710]: 56 t-boxes
beta-box [4.1710, 4.1720]: 56 t-boxes
beta-box [4.1720, 4.1730]: 56 t-boxes
beta-box [4.1730, 4.1740]: 56 t-boxes
beta-box [4.1740, 4.1750]: 56 t-boxes
beta-box [4.1750, 4.1760]: 56 t-boxes
beta-box [4.1760, 4.1770]: 56 t-boxes
beta-box [4.1770, 4.1780]: 56 t-boxes
beta-box [4.1780, 4.1790]: 56 t-boxes
beta-box [4.1790, 4.1800]: 56 t-boxes
beta-box [4.1800, 4.1810]: 56 t-boxes
beta-box [4.1810, 4.1820]: 56 t-boxes
beta-box [4.1820, 4.1830]: 56 t-boxes
beta-box [4.1830, 4.1840]: 56 t-boxes
beta-box [4.1840, 4.1850]: 56 t-boxes
beta-box [4.1850, 4.1860]: 56 t-boxes
beta-box [4.1860, 4.1870]: 56 t-boxes
beta-box [4.1870, 4.1880]: 56 t-boxes
beta-box [4.1880, 4.1890]: 56 t-boxes
beta-box [4.1890, 4.1900]: 56 t-boxes
beta-box [4.1900, 4.1910]: 57 t-boxes
beta-box [4.1910, 4.1920]: 57 t-boxes
beta-box [4.1920, 4.1930]: 57 t-boxes
beta-box [4.1930, 4.1940]: 57 t-boxes
beta-box [4.1940, 4.1950]: 57 t-boxes
beta-box [4.1950, 4.1960]: 57 t-boxes
beta-box [4.1960, 4.1970]: 57 t-boxes
beta-box [4.1970, 4.1980]: 57 t-boxes
beta-box [4.1980, 4.1990]: 57 t-boxes
beta-box [4.1990, 4.2000]: 57 t-boxes
beta-box [4.2000, 4.2010]: 57 t-boxes
beta-box [4.2010, 4.2020]: 57 t-boxes
beta-box [4.2020, 4.2030]: 57 t-boxes
beta-box [4.2030, 4.2040]: 57 t-boxes
beta-box [4.2040, 4.2050]: 57 t-boxes
beta-box [4.2050, 4.2060]: 57 t-boxes
beta-box [4.2060, 4.2070]: 57 t-boxes
beta-box [4.2070, 4.2080]: 57 t-boxes
beta-box [4.2080, 4.2090]: 57 t-boxes
beta-box [4.2090, 4.2100]: 57 t-boxes
beta-box [4.2100, 4.2110]: 57 t-boxes
beta-box [4.2110, 4.2120]: 57 t-boxes
beta-box [4.2120, 4.2130]: 57 t-boxes
beta-box [4.2130, 4.2140]: 57 t-boxes
beta-box [4.2140, 4.2150]: 57 t-boxes
beta-box [4.2150, 4.2160]: 57 t-boxes
beta-box [4.2160, 4.2170]: 57 t-boxes
beta-box [4.2170, 4.2180]: 57 t-boxes
beta-box [4.2180, 4.2190]: 57 t-boxes
beta-box [4.2190, 4.2200]: 57 t-boxes
beta-box [4.2200, 4.2210]: 57 t-boxes
beta-box [4.2210, 4.2220]: 57 t-boxes
beta-box [4.2220, 4.2230]: 57 t-boxes
beta-box [4.2230, 4.2240]: 57 t-boxes
beta-box [4.2240, 4.2250]: 57 t-boxes
beta-box [4.2250, 4.2260]: 57 t-boxes
beta-box [4.2260, 4.2270]: 57 t-boxes
beta-box [4.2270, 4.2280]: 57 t-boxes
beta-box [4.2280, 4.2290]: 57 t-boxes
beta-box [4.2290, 4.2300]: 57 t-boxes
beta-box [4.2300, 4.2310]: 59 t-boxes
beta-box [4.2310, 4.2320]: 59 t-boxes
beta-box [4.2320, 4.2330]: 59 t-boxes
beta-box [4.2330, 4.2340]: 59 t-boxes
beta-box [4.2340, 4.2350]: 59 t-boxes
beta-box [4.2350, 4.2360]: 59 t-boxes
beta-box [4.2360, 4.2370]: 60 t-boxes
beta-box [4.2370, 4.2380]: 60 t-boxes
beta-box [4.2380, 4.2390]: 60 t-boxes
beta-box [4.2390, 4.2400]: 60 t-boxes
beta-box [4.2400, 4.2410]: 60 t-boxes
beta-box [4.2410, 4.2420]: 60 t-boxes
beta-box [4.2420, 4.2430]: 60 t-boxes
beta-box [4.2430, 4.2440]: 60 t-boxes
beta-box [4.2440, 4.2450]: 60 t-boxes
beta-box [4.2450, 4.2460]: 60 t-boxes
beta-box [4.2460, 4.2470]: 60 t-boxes
beta-box [4.2470, 4.2480]: 60 t-boxes
beta-box [4.2480, 4.2490]: 60 t-boxes
beta-box [4.2490, 4.2500]: 60 t-boxes
beta-box [4.2500, 4.2510]: 60 t-boxes
beta-box [4.2510, 4.2520]: 60 t-boxes
beta-box [4.2520, 4.2530]: 60 t-boxes
beta-box [4.2530, 4.2540]: 60 t-boxes
beta-box [4.2540, 4.2550]: 60 t-boxes
beta-box [4.2550, 4.2560]: 60 t-boxes
beta-box [4.2560, 4.2570]: 60 t-boxes
beta-box [4.2570, 4.2580]: 60 t-boxes
beta-box [4.2580, 4.2590]: 60 t-boxes
beta-box [4.2590, 4.2600]: 61 t-boxes
beta-box [4.2600, 4.2610]: 61 t-boxes
beta-box [4.2610, 4.2620]: 61 t-boxes
beta-box [4.2620, 4.2630]: 61 t-boxes
beta-box [4.2630, 4.2640]: 61 t-boxes
beta-box [4.2640, 4.2650]: 61 t-boxes
beta-box [4.2650, 4.2660]: 61 t-boxes
beta-box [4.2660, 4.2670]: 61 t-boxes
beta-box [4.2670, 4.2680]: 61 t-boxes
beta-box [4.2680, 4.2690]: 61 t-boxes
beta-box [4.2690, 4.2700]: 62 t-boxes
beta-box [4.2700, 4.2710]: 62 t-boxes
beta-box [4.2710, 4.2720]: 63 t-boxes
beta-box [4.2720, 4.2730]: 63 t-boxes
beta-box [4.2730, 4.2740]: 63 t-boxes
beta-box [4.2740, 4.2750]: 63 t-boxes
beta-box [4.2750, 4.2760]: 63 t-boxes
beta-box [4.2760, 4.2770]: 63 t-boxes
beta-box [4.2770, 4.2780]: 63 t-boxes
beta-box [4.2780, 4.2790]: 63 t-boxes
beta-box [4.2790, 4.2800]: 63 t-boxes
beta-box [4.2800, 4.2810]: 63 t-boxes
beta-box [4.2810, 4.2820]: 63 t-boxes
beta-box [4.2820, 4.2830]: 63 t-boxes
beta-box [4.2830, 4.2840]: 63 t-boxes
beta-box [4.2840, 4.2850]: 63 t-boxes
beta-box [4.2850, 4.2860]: 63 t-boxes
beta-box [4.2860, 4.2870]: 63 t-boxes
beta-box [4.2870, 4.2880]: 63 t-boxes
beta-box [4.2880, 4.2890]: 63 t-boxes
beta-box [4.2890, 4.2900]: 63 t-boxes
beta-box [4.2900, 4.2910]: 63 t-boxes
beta-box [4.2910, 4.2920]: 63 t-boxes
beta-box [4.2920, 4.2930]: 63 t-boxes
beta-box [4.2930, 4.2940]: 63 t-boxes
beta-box [4.2940, 4.2950]: 63 t-boxes
beta-box [4.2950, 4.2960]: 63 t-boxes
beta-box [4.2960, 4.2970]: 63 t-boxes
beta-box [4.2970, 4.2980]: 63 t-boxes
beta-box [4.2980, 4.2990]: 63 t-boxes
beta-box [4.2990, 4.3000]: 63 t-boxes
beta-box [4.3000, 4.3010]: 64 t-boxes
beta-box [4.3010, 4.3020]: 64 t-boxes
beta-box [4.3020, 4.3030]: 64 t-boxes
beta-box [4.3030, 4.3040]: 64 t-boxes
beta-box [4.3040, 4.3050]: 64 t-boxes
beta-box [4.3050, 4.3060]: 64 t-boxes
beta-box [4.3060, 4.3070]: 64 t-boxes
beta-box [4.3070, 4.3080]: 64 t-boxes
beta-box [4.3080, 4.3090]: 64 t-boxes
beta-box [4.3090, 4.3100]: 64 t-boxes
beta-box [4.3100, 4.3110]: 64 t-boxes
beta-box [4.3110, 4.3120]: 65 t-boxes
beta-box [4.3120, 4.3130]: 65 t-boxes
beta-box [4.3130, 4.3140]: 65 t-boxes
beta-box [4.3140, 4.3150]: 65 t-boxes
beta-box [4.3150, 4.3160]: 65 t-boxes
beta-box [4.3160, 4.3170]: 65 t-boxes
beta-box [4.3170, 4.3180]: 65 t-boxes
beta-box [4.3180, 4.3190]: 65 t-boxes
beta-box [4.3190, 4.3200]: 65 t-boxes
beta-box [4.3200, 4.3210]: 65 t-boxes
beta-box [4.3210, 4.3220]: 65 t-boxes
beta-box [4.3220, 4.3230]: 65 t-boxes
beta-box [4.3230, 4.3240]: 65 t-boxes
beta-box [4.3240, 4.3250]: 65 t-boxes
beta-box [4.3250, 4.3260]: 65 t-boxes
beta-box [4.3260, 4.3270]: 65 t-boxes
beta-box [4.3270, 4.3280]: 65 t-boxes
beta-box [4.3280, 4.3290]: 65 t-boxes
beta-box [4.3290, 4.3300]: 65 t-boxes
beta-box [4.3300, 4.3310]: 65 t-boxes
beta-box [4.3310, 4.3320]: 65 t-boxes
beta-box [4.3320, 4.3330]: 65 t-boxes
beta-box [4.3330, 4.3340]: 65 t-boxes
beta-box [4.3340, 4.3350]: 65 t-boxes
beta-box [4.3350, 4.3360]: 65 t-boxes
beta-box [4.3360, 4.3370]: 65 t-boxes
beta-box [4.3370, 4.3380]: 65 t-boxes
beta-box [4.3380, 4.3390]: 65 t-boxes
beta-box [4.3390, 4.3400]: 65 t-boxes
beta-box [4.3400, 4.3410]: 65 t-boxes
beta-box [4.3410, 4.3420]: 65 t-boxes
beta-box [4.3420, 4.3430]: 65 t-boxes
beta-box [4.3430, 4.3440]: 65 t-boxes
beta-box [4.3440, 4.3450]: 65 t-boxes
beta-box [4.3450, 4.3460]: 65 t-boxes
beta-box [4.3460, 4.3470]: 65 t-boxes
beta-box [4.3470, 4.3480]: 65 t-boxes
beta-box [4.3480, 4.3490]: 66 t-boxes
beta-box [4.3490, 4.3500]: 66 t-boxes
beta-box [4.3500, 4.3510]: 66 t-boxes
beta-box [4.3510, 4.3520]: 67 t-boxes
beta-box [4.3520, 4.3530]: 67 t-boxes
beta-box [4.3530, 4.3540]: 67 t-boxes
beta-box [4.3540, 4.3550]: 67 t-boxes
beta-box [4.3550, 4.3560]: 67 t-boxes
beta-box [4.3560, 4.3570]: 67 t-boxes
beta-box [4.3570, 4.3580]: 67 t-boxes
beta-box [4.3580, 4.3590]: 67 t-boxes
beta-box [4.3590, 4.3600]: 67 t-boxes
beta-box [4.3600, 4.3610]: 67 t-boxes
beta-box [4.3610, 4.3620]: 67 t-boxes
beta-box [4.3620, 4.3630]: 67 t-boxes
beta-box [4.3630, 4.3640]: 67 t-boxes
beta-box [4.3640, 4.3650]: 67 t-boxes
beta-box [4.3650, 4.3660]: 67 t-boxes
beta-box [4.3660, 4.3670]: 67 t-boxes
beta-box [4.3670, 4.3680]: 67 t-boxes
beta-box [4.3680, 4.3690]: 68 t-boxes
beta-box [4.3690, 4.3700]: 68 t-boxes
beta-box [4.3700, 4.3710]: 68 t-boxes
beta-box [4.3710, 4.3720]: 68 t-boxes
beta-box [4.3720, 4.3730]: 68 t-boxes
beta-box [4.3730, 4.3740]: 68 t-boxes
beta-box [4.3740, 4.3750]: 68 t-boxes
beta-box [4.3750, 4.3760]: 68 t-boxes
beta-box [4.3760, 4.3770]: 68 t-boxes
beta-box [4.3770, 4.3780]: 68 t-boxes
beta-box [4.3780, 4.3790]: 68 t-boxes
beta-box [4.3790, 4.3800]: 68 t-boxes
beta-box [4.3800, 4.3810]: 68 t-boxes
beta-box [4.3810, 4.3820]: 68 t-boxes
beta-box [4.3820, 4.3830]: 68 t-boxes
beta-box [4.3830, 4.3840]: 68 t-boxes
beta-box [4.3840, 4.3850]: 68 t-boxes
beta-box [4.3850, 4.3860]: 68 t-boxes
beta-box [4.3860, 4.3870]: 68 t-boxes
beta-box [4.3870, 4.3880]: 68 t-boxes
beta-box [4.3880, 4.3890]: 68 t-boxes
beta-box [4.3890, 4.3900]: 68 t-boxes
beta-box [4.3900, 4.3910]: 69 t-boxes
beta-box [4.3910, 4.3920]: 69 t-boxes
beta-box [4.3920, 4.3930]: 69 t-boxes
beta-box [4.3930, 4.3940]: 69 t-boxes
beta-box [4.3940, 4.3950]: 70 t-boxes
beta-box [4.3950, 4.3960]: 70 t-boxes
beta-box [4.3960, 4.3970]: 70 t-boxes
beta-box [4.3970, 4.3980]: 70 t-boxes
beta-box [4.3980, 4.3990]: 70 t-boxes
beta-box [4.3990, 4.4000]: 70 t-boxes
beta-box [4.4000, 4.4010]: 70 t-boxes
beta-box [4.4010, 4.4020]: 70 t-boxes
beta-box [4.4020, 4.4030]: 70 t-boxes
beta-box [4.4030, 4.4040]: 70 t-boxes
beta-box [4.4040, 4.4050]: 70 t-boxes
beta-box [4.4050, 4.4060]: 70 t-boxes
beta-box [4.4060, 4.4070]: 70 t-boxes
beta-box [4.4070, 4.4080]: 71 t-boxes
beta-box [4.4080, 4.4090]: 71 t-boxes
beta-box [4.4090, 4.4100]: 71 t-boxes
beta-box [4.4100, 4.4110]: 71 t-boxes
beta-box [4.4110, 4.4120]: 71 t-boxes
beta-box [4.4120, 4.4130]: 71 t-boxes
beta-box [4.4130, 4.4140]: 71 t-boxes
beta-box [4.4140, 4.4150]: 71 t-boxes
beta-box [4.4150, 4.4160]: 71 t-boxes
beta-box [4.4160, 4.4170]: 71 t-boxes
beta-box [4.4170, 4.4180]: 71 t-boxes
beta-box [4.4180, 4.4190]: 71 t-boxes
beta-box [4.4190, 4.4200]: 71 t-boxes
beta-box [4.4200, 4.4210]: 71 t-boxes
beta-box [4.4210, 4.4220]: 71 t-boxes
beta-box [4.4220, 4.4230]: 71 t-boxes
beta-box [4.4230, 4.4240]: 71 t-boxes
beta-box [4.4240, 4.4250]: 71 t-boxes
beta-box [4.4250, 4.4260]: 71 t-boxes
beta-box [4.4260, 4.4270]: 71 t-boxes
beta-box [4.4270, 4.4280]: 71 t-boxes
beta-box [4.4280, 4.4290]: 71 t-boxes
beta-box [4.4290, 4.4300]: 71 t-boxes
beta-box [4.4300, 4.4310]: 73 t-boxes
beta-box [4.4310, 4.4320]: 73 t-boxes
beta-box [4.4320, 4.4330]: 74 t-boxes
beta-box [4.4330, 4.4340]: 74 t-boxes
beta-box [4.4340, 4.4350]: 74 t-boxes
beta-box [4.4350, 4.4360]: 74 t-boxes
beta-box [4.4360, 4.4370]: 74 t-boxes
beta-box [4.4370, 4.4380]: 74 t-boxes
beta-box [4.4380, 4.4390]: 74 t-boxes
beta-box [4.4390, 4.4400]: 74 t-boxes
beta-box [4.4400, 4.4410]: 75 t-boxes
beta-box [4.4410, 4.4420]: 75 t-boxes
beta-box [4.4420, 4.4430]: 75 t-boxes
beta-box [4.4430, 4.4440]: 75 t-boxes
beta-box [4.4440, 4.4450]: 75 t-boxes
beta-box [4.4450, 4.4460]: 75 t-boxes
beta-box [4.4460, 4.4470]: 75 t-boxes
beta-box [4.4470, 4.4480]: 75 t-boxes
beta-box [4.4480, 4.4490]: 75 t-boxes
beta-box [4.4490, 4.4500]: 75 t-boxes
beta-box [4.4500, 4.4510]: 75 t-boxes
beta-box [4.4510, 4.4520]: 75 t-boxes
beta-box [4.4520, 4.4530]: 75 t-boxes
beta-box [4.4530, 4.4540]: 75 t-boxes
beta-box [4.4540, 4.4550]: 76 t-boxes
beta-box [4.4550, 4.4560]: 76 t-boxes
beta-box [4.4560, 4.4570]: 76 t-boxes
beta-box [4.4570, 4.4580]: 76 t-boxes
beta-box [4.4580, 4.4590]: 76 t-boxes
beta-box [4.4590, 4.4600]: 76 t-boxes
beta-box [4.4600, 4.4610]: 76 t-boxes
beta-box [4.4610, 4.4620]: 76 t-boxes
beta-box [4.4620, 4.4630]: 76 t-boxes
beta-box [4.4630, 4.4640]: 77 t-boxes
beta-box [4.4640, 4.4650]: 77 t-boxes
beta-box [4.4650, 4.4660]: 77 t-boxes
beta-box [4.4660, 4.4670]: 77 t-boxes
beta-box [4.4670, 4.4680]: 77 t-boxes
beta-box [4.4680, 4.4690]: 77 t-boxes
beta-box [4.4690, 4.4700]: 78 t-boxes
beta-box [4.4700, 4.4710]: 78 t-boxes
beta-box [4.4710, 4.4720]: 78 t-boxes
beta-box [4.4720, 4.4730]: 78 t-boxes
beta-box [4.4730, 4.4740]: 78 t-boxes
beta-box [4.4740, 4.4750]: 78 t-boxes
beta-box [4.4750, 4.4760]: 78 t-boxes
beta-box [4.4760, 4.4770]: 78 t-boxes
beta-box [4.4770, 4.4780]: 78 t-boxes
beta-box [4.4780, 4.4790]: 78 t-boxes
beta-box [4.4790, 4.4800]: 78 t-boxes
beta-box [4.4800, 4.4810]: 78 t-boxes
beta-box [4.4810, 4.4820]: 78 t-boxes
beta-box [4.4820, 4.4830]: 78 t-boxes
beta-box [4.4830, 4.4840]: 78 t-boxes
beta-box [4.4840, 4.4850]: 78 t-boxes
beta-box [4.4850, 4.4860]: 78 t-boxes
beta-box [4.4860, 4.4870]: 78 t-boxes
beta-box [4.4870, 4.4880]: 78 t-boxes
beta-box [4.4880, 4.4890]: 78 t-boxes
beta-box [4.4890, 4.4900]: 79 t-boxes
beta-box [4.4900, 4.4910]: 79 t-boxes
beta-box [4.4910, 4.4920]: 79 t-boxes
beta-box [4.4920, 4.4930]: 79 t-boxes
beta-box [4.4930, 4.4940]: 79 t-boxes
beta-box [4.4940, 4.4950]: 79 t-boxes
beta-box [4.4950, 4.4960]: 79 t-boxes
beta-box [4.4960, 4.4970]: 79 t-boxes
beta-box [4.4970, 4.4980]: 79 t-boxes
beta-box [4.4980, 4.4990]: 79 t-boxes
beta-box [4.4990, 4.5000]: 79 t-boxes
beta-box [4.5000, 4.5010]: 79 t-boxes
beta-box [4.5010, 4.5020]: 79 t-boxes
beta-box [4.5020, 4.5030]: 79 t-boxes
beta-box [4.5030, 4.5040]: 79 t-boxes
beta-box [4.5040, 4.5050]: 80 t-boxes
beta-box [4.5050, 4.5060]: 80 t-boxes
beta-box [4.5060, 4.5070]: 80 t-boxes
beta-box [4.5070, 4.5080]: 81 t-boxes
beta-box [4.5080, 4.5090]: 82 t-boxes
beta-box [4.5090, 4.5100]: 82 t-boxes
beta-box [4.5100, 4.5110]: 82 t-boxes
beta-box [4.5110, 4.5120]: 82 t-boxes
beta-box [4.5120, 4.5130]: 82 t-boxes
beta-box [4.5130, 4.5140]: 82 t-boxes
beta-box [4.5140, 4.5150]: 82 t-boxes
beta-box [4.5150, 4.5160]: 82 t-boxes
beta-box [4.5160, 4.5170]: 82 t-boxes
beta-box [4.5170, 4.5180]: 82 t-boxes
beta-box [4.5180, 4.5190]: 82 t-boxes
beta-box [4.5190, 4.5200]: 82 t-boxes
beta-box [4.5200, 4.5210]: 82 t-boxes
beta-box [4.5210, 4.5220]: 82 t-boxes
beta-box [4.5220, 4.5230]: 82 t-boxes
beta-box [4.5230, 4.5240]: 82 t-boxes
beta-box [4.5240, 4.5250]: 82 t-boxes
beta-box [4.5250, 4.5260]: 82 t-boxes
beta-box [4.5260, 4.5270]: 82 t-boxes
beta-box [4.5270, 4.5280]: 82 t-boxes
beta-box [4.5280, 4.5290]: 82 t-boxes
beta-box [4.5290, 4.5300]: 82 t-boxes
beta-box [4.5300, 4.5310]: 83 t-boxes
beta-box [4.5310, 4.5320]: 83 t-boxes
beta-box [4.5320, 4.5330]: 83 t-boxes
beta-box [4.5330, 4.5340]: 83 t-boxes
beta-box [4.5340, 4.5350]: 83 t-boxes
beta-box [4.5350, 4.5360]: 83 t-boxes
beta-box [4.5360, 4.5370]: 83 t-boxes
beta-box [4.5370, 4.5380]: 83 t-boxes
beta-box [4.5380, 4.5390]: 83 t-boxes
beta-box [4.5390, 4.5400]: 83 t-boxes
beta-box [4.5400, 4.5410]: 83 t-boxes
beta-box [4.5410, 4.5420]: 83 t-boxes
beta-box [4.5420, 4.5430]: 83 t-boxes
beta-box [4.5430, 4.5440]: 83 t-boxes
beta-box [4.5440, 4.5450]: 83 t-boxes
beta-box [4.5450, 4.5460]: 83 t-boxes
beta-box [4.5460, 4.5470]: 83 t-boxes
beta-box [4.5470, 4.5480]: 84 t-boxes
beta-box [4.5480, 4.5490]: 84 t-boxes
beta-box [4.5490, 4.5500]: 85 t-boxes
beta-box [4.5500, 4.5510]: 85 t-boxes
beta-box [4.5510, 4.5520]: 85 t-boxes
beta-box [4.5520, 4.5530]: 85 t-boxes
beta-box [4.5530, 4.5540]: 86 t-boxes
beta-box [4.5540, 4.5550]: 86 t-boxes
beta-box [4.5550, 4.5560]: 86 t-boxes
beta-box [4.5560, 4.5570]: 86 t-boxes
beta-box [4.5570, 4.5580]: 86 t-boxes
beta-box [4.5580, 4.5590]: 86 t-boxes
beta-box [4.5590, 4.5600]: 86 t-boxes
beta-box [4.5600, 4.5610]: 86 t-boxes
beta-box [4.5610, 4.5620]: 86 t-boxes
beta-box [4.5620, 4.5630]: 86 t-boxes
beta-box [4.5630, 4.5640]: 86 t-boxes
beta-box [4.5640, 4.5650]: 86 t-boxes
beta-box [4.5650, 4.5660]: 86 t-boxes
beta-box [4.5660, 4.5670]: 86 t-boxes
beta-box [4.5670, 4.5680]: 86 t-boxes
beta-box [4.5680, 4.5690]: 86 t-boxes
beta-box [4.5690, 4.5700]: 86 t-boxes
beta-box [4.5700, 4.5710]: 86 t-boxes
beta-box [4.5710, 4.5720]: 86 t-boxes
beta-box [4.5720, 4.5730]: 86 t-boxes
beta-box [4.5730, 4.5740]: 86 t-boxes
beta-box [4.5740, 4.5750]: 86 t-boxes
beta-box [4.5750, 4.5760]: 86 t-boxes
beta-box [4.5760, 4.5770]: 87 t-boxes
beta-box [4.5770, 4.5780]: 87 t-boxes
beta-box [4.5780, 4.5790]: 87 t-boxes
beta-box [4.5790, 4.5800]: 87 t-boxes
beta-box [4.5800, 4.5810]: 87 t-boxes
beta-box [4.5810, 4.5820]: 88 t-boxes
beta-box [4.5820, 4.5830]: 88 t-boxes
beta-box [4.5830, 4.5840]: 88 t-boxes
beta-box [4.5840, 4.5850]: 88 t-boxes
beta-box [4.5850, 4.5860]: 88 t-boxes
beta-box [4.5860, 4.5870]: 89 t-boxes
beta-box [4.5870, 4.5880]: 89 t-boxes
beta-box [4.5880, 4.5890]: 90 t-boxes
beta-box [4.5890, 4.5900]: 90 t-boxes
beta-box [4.5900, 4.5910]: 90 t-boxes
beta-box [4.5910, 4.5920]: 90 t-boxes
beta-box [4.5920, 4.5930]: 90 t-boxes
beta-box [4.5930, 4.5940]: 90 t-boxes
beta-box [4.5940, 4.5950]: 90 t-boxes
beta-box [4.5950, 4.5960]: 90 t-boxes
beta-box [4.5960, 4.5970]: 90 t-boxes
beta-box [4.5970, 4.5980]: 90 t-boxes
beta-box [4.5980, 4.5990]: 91 t-boxes
beta-box [4.5990, 4.6000]: 91 t-boxes
beta-box [4.6000, 4.6010]: 91 t-boxes
beta-box [4.6010, 4.6020]: 91 t-boxes
beta-box [4.6020, 4.6030]: 91 t-boxes
beta-box [4.6030, 4.6040]: 91 t-boxes
beta-box [4.6040, 4.6050]: 91 t-boxes
beta-box [4.6050, 4.6060]: 91 t-boxes
beta-box [4.6060, 4.6070]: 91 t-boxes
beta-box [4.6070, 4.6080]: 91 t-boxes
beta-box [4.6080, 4.6090]: 92 t-boxes
beta-box [4.6090, 4.6100]: 92 t-boxes
beta-box [4.6100, 4.6110]: 92 t-boxes
